"","emp_nonemp","bin_BL_gender","bin_BL_marital2","bin_BL_education","age_group","BL_F6","Labour_market_A4","FU_B1_imputed","BL_Difference_G","BL_B6_13","FU_A10_imputed","FU_A14_imputed","BL_A4_groupped","bin_FU_A1"
"377",2,1,1,0,3,0,2,5,1,2,2,5,6,0
"378",2,1,1,0,4,0,2,5,2,2,2,2,6,0
"379",1,1,0,1,2,0,5,8,2,2,1,1,8,0
"380",1,1,1,1,3,0,5,6,2,2,1,2,6,0
"381",1,1,1,0,4,0,5,5,2,2,1,3,6,0
"382",1,1,0,1,1,0,2,7,2,2,2,1,8,0
"383",2,1,0,1,2,NA,1,7,1,1,1,2,1,0
"384",2,0,0,1,3,NA,5,8,1,1,1,1,9,0
"385",2,0,0,1,2,NA,5,10,1,1,1,1,5,0
"386",2,1,0,1,2,NA,5,7,1,2,1,3,5,0
"387",1,0,0,1,4,1,5,8,1,1,1,3,NA,0
"388",1,0,0,1,4,1,2,7,1,1,2,3,NA,0
"389",1,1,1,0,4,1,5,5,1,2,1,5,6,0
"390",2,0,1,0,4,1,5,7,2,1,2,2,5,0
"391",2,1,0,0,4,0,5,10,1,1,1,3,NA,0
"392",1,1,0,1,1,0,2,8,2,1,2,2,5,0
"393",1,1,1,1,2,0,5,2,2,2,2,4,6,0
"394",2,1,1,0,2,0,2,5,2,2,2,2,6,0
"395",1,1,1,0,3,0,4,9,2,2,1,2,5,0
"396",2,0,1,0,4,0,5,7,2,1,1,4,9,0
"397",2,0,1,1,3,0,5,5,2,1,1,3,1,0
"398",2,0,1,0,3,0,4,5,2,1,1,1,1,0
"399",2,1,1,0,4,0,4,8,1,2,1,1,6,0
"400",2,1,0,0,1,0,4,5,1,2,1,1,6,0
"401",2,1,1,0,3,0,4,6,1,2,1,2,6,0
"402",2,0,0,1,2,NA,5,5,1,1,1,3,1,0
"403",1,0,0,0,1,1,5,9,2,1,1,2,10,0
"404",1,1,1,1,2,1,5,6,2,1,1,2,5,0
"405",1,0,1,1,3,1,5,6,2,1,1,2,10,0
"406",2,0,1,0,2,1,5,8,2,1,1,2,5,0
"407",2,1,1,0,2,1,4,4,1,1,1,4,6,0
"408",1,1,0,0,3,0,2,7,1,1,2,2,NA,0
"409",1,1,0,0,1,0,2,5,1,1,1,2,NA,0
